n_one_way_transfers,survival_manual_200us,survival_manual_400us,survival_manual_600us,survival_ml_400us
5,0.9187593345693027,0.9754984581679081,0.9823635824886283,0.9855655915260485
6,0.8929767098063712,0.9705998473160851,0.9806852336457315,0.9835379965074582
7,0.8642373344458064,0.965701236464262,0.9790068848028346,0.9815104014888678
8,0.8328411829022916,0.9601462134514931,0.9773285359599378,0.9794828064702775
9,0.8012605638317051,0.9531600477142115,0.975650187117041,0.9774552114516871
10,0.7693604041134326,0.9453884279560743,0.9729011606917161,0.9754276164330968
11,0.7374602443951601,0.9365212120928308,0.9697618094466128,0.9734000214145064
12,0.7055600846768876,0.9267418612991013,0.9658976098642174,0.9713724263959161
13,0.6753278628489832,0.916118434844783,0.961362646759148,0.9693448313773259
14,0.6463358077077718,0.9045623193021302,0.9563860541298348,0.9669722702393174
15,0.618302110838253,0.8924452896916896,0.9504226992430214,0.9638289283267651
16,0.5919667015897039,0.8798358947257301,0.944329268759075,0.9606855864142128
17,0.5667510264602029,0.8665227804584243,0.9370161811178718,0.9573957749820103
18,0.5428363749048011,0.8532096661911187,0.9297030934766687,0.953257929413509
19,0.5202484205209351,0.8398186922073579,0.921737002641002,0.9491200838450077
20,0.49866832386626914,0.8261946363261939,0.9132748420685087,0.9449822382765063
21,0.4784582840442959,0.8125705804450299,0.9048126814960156,0.9399029981629188
22,0.4589227362339492,0.7989465245638661,0.8959860720072557,0.9348097891884123
23,0.4409823896615848,0.7853224686827021,0.8866271076391995,0.9297165802139058
24,0.4235046846475718,0.7716984128015381,0.8772681432711432,0.9238979641542496
25,0.4071151256918037,0.7580743569203741,0.867909178903087,0.917927326230651
26,0.39157233901872407,0.7444503010392101,0.8584973288564335,0.9119566883070523
27,0.3766031364911478,0.7308262451580461,0.8489608984789384,0.9059602312435521
28,0.36270120128050637,0.7172021892768821,0.8394244681014434,0.8992366013588445
29,0.3490086111373705,0.7035781333957181,0.8298880377239485,0.8925129714741369
30,0.3366448014492707,0.690976824346745,0.8203516073464534,0.8857893415894292
31,0.32428099176117103,0.6785987628361974,0.8108151769689584,0.8790657117047216
32,,0.6662207013256498,0.8012787465914635,0.8721899280239085
33,,0.6538687505023661,0.7917423162139684,0.8649465467730186
34,,0.6424108939031938,0.7822058858364734,0.8577031655221287
35,,0.6309530373040215,0.7726694554589784,0.8504597842712387
36,,0.6194951807048493,0.7631330250814834,0.8432164030203487
37,,0.6082533143756056,0.7535965947039884,0.8359730217694588
38,,0.5977186364273345,0.7440601643264934,0.8287296405185688
39,,0.5871839584790634,0.7345430125220827,0.8214868846025843
40,,0.5766492805307922,0.7258406564018469,0.8142705580379767
41,,0.5664993937255545,0.7171383002816111,0.807054231473369
42,,0.5568362487224773,0.7084359441613753,0.7998379049087613
43,,0.5471731037194002,0.6997335880411396,0.7926215783441536
44,,0.5375099587163231,0.6910312319209039,0.7854052517795459
45,,0.5284064900830313,0.6829493785903379,0.7781889252149382
46,,0.5196065036668983,0.6748904746341782,0.7709725986503305
47,,0.5108065172507652,0.6668315706780185,0.7637562720857228
48,,0.5020065308346322,0.6587726667218587,0.7565399455211151
49,,0.4936342778922275,0.6507137627656991,0.7493236189565075
50,,0.4856254003381626,0.6432418579520525,0.7421072923918998
51,,0.47761652278409766,0.6358297761184506,0.7350479755363062
52,,0.46960764523003273,0.6284176942848487,0.7283105302725487
53,,0.46191798566684333,0.6210056124512469,0.7215730850087911
54,,0.4546508963689007,0.613593530617645,0.7148356397450336
55,,0.44738380707095804,0.6067210232821612,0.7080981944812761
56,,0.4401167177730154,0.5999432193778713,0.7013607492175186
57,,0.43285437835613794,0.5931654154735814,0.694623303953761
58,,0.42629860286204424,0.5863876115692915,0.6879097830453751
59,,0.41974282736795054,0.5796098076650016,0.681583140911001
60,,0.41318705187385685,0.5730638864114106,0.675256498776627
