ramp_exponent,shots,captured,capture_fraction,wilson_lo,wilson_hi,mean_capture_margin,median_capture_margin,mean_excitation_change_uK,median_excitation_change_uK,mean_final_excitation_uK,__label__,ideal_excitation_change_uK
0.5,198,198,1.0,0.9809679396733518,1.0,0.9727626712936728,0.9845237273686112,-1.5926094288172428,-0.9148468062161135,3.8132260188858194,p=0.5,4.9475081769347034e-05
0.75,198,198,1.0,0.9809679396733518,1.0,0.9770240719078467,0.9828584249247619,-1.3392995140893815,-0.9942257778822863,3.216629932901483,p=0.75,4.8850218805456435e-05
1.0,198,198,1.0,0.9809679396733518,1.0,0.9691413479342275,0.9772128991129406,-1.823525961386879,-1.3476360160833631,4.320211289208147,p=1,4.7704223377957105e-05
1.5,198,198,1.0,0.9809679396733518,1.0,0.973023732908003,0.9796341923907846,-1.5720535675280845,-1.1789766000673882,3.776677392879554,p=1.5,4.789848863388563e-05
2.0,198,198,1.0,0.9809679396733518,1.0,0.9766672195492515,0.9830237717646986,-1.3472076608181913,-1.0065579386258303,3.2665892631047893,p=2,4.782760961702604e-05
3.0,198,198,1.0,0.9809679396733518,1.0,0.9740963508596311,0.9842251600851607,-1.5222684772843493,-0.9564738280817591,3.626510879651626,p=3,4.7806655877362766e-05
4.0,198,198,1.0,0.9809679396733518,1.0,0.9735253649414999,0.9830999821280384,-1.5220768842906514,-0.975747970191299,3.706448908190004,p=4,4.779044539084137e-05
6.0,198,198,1.0,0.9809679396733518,1.0,0.9766900083586436,0.9848362671384177,-1.3555093269614285,-0.8769172871062758,3.2633988297898746,p=6,4.776074921669937e-05
