d_cmd_uK,eff_depth_compensated_uK,eff_depth_uncompensated_uK,multiplier,time_us
280.0,280.0,280.0,1.0,0.0
280.0000072722762,280.0,279.99999272772385,1.0000000259724153,5.0
280.0001163339704,280.0,279.9998836660779,1.0000004154784659,10.0
280.0005887510383,280.0,279.99941125019944,1.00000210268228,14.999999999999998
280.0018599029839,280.0,279.99814010937035,1.0000066425106569,20.0
280.002641486968,280.0,279.99735853795113,1.0000094338820287,24.999999999999996
280.00470452819815,280.0,279.99529555084536,1.0000168018864222,29.999999999999996
280.0093982653535,280.0,279.9906020500908,1.0000335652334056,35.0
280.0149791824569,280.0,279.98502161884267,1.0000534970802033,40.0
280.02414207897044,280.0,279.9758600024213,1.000086221710609,44.99999999999999
280.03624557292505,280.0,279.96375911840164,1.0001294484747325,49.99999999999999
280.05367087771674,280.0,279.9463394080369,1.0001916817061316,54.99999999999999
280.07474033555457,280.0,279.92527960954186,1.000266929769838,59.99999999999999
280.1029358715632,280.0,279.8971019566502,1.0003676281127258,65.0
280.1388558159127,280.0,279.86121301044676,1.0004959136282598,70.0
280.18204017653153,280.0,279.81807809880763,1.000650143487613,75.0
280.23466631792996,280.0,279.7655301898093,1.0008380939926071,80.0
280.2982313100691,280.0,279.7020860016522,1.0010651118216758,84.99999999999999
280.373940235098,280.0,279.6265584963436,1.0013355008396359,89.99999999999999
280.46314046369514,280.0,279.53762433943984,1.0016540730846257,94.99999999999999
280.56731697238234,280.0,279.43383016246787,1.0020261320442228,99.99999999999999
280.68808729599675,280.0,279.3135995020838,1.00245745462856,104.99999999999999
280.82651776542446,280.0,279.17591480975386,1.0029518491622305,109.99999999999999
280.9836898793931,280.0,279.01975389977855,1.0035131781406899,114.99999999999999
281.1625975554874,280.0,278.84220974494207,1.004152134126741,119.99999999999999
281.36533775015255,280.0,278.6412876116879,1.004876206250545,125.0
281.5910559458331,280.0,278.417933895887,1.0056823426636896,130.0
281.8442434957946,280.0,278.16782428330765,1.0065865839135524,134.99999999999997
282.1252542137903,280.0,277.8907553614099,1.0075901936206797,140.0
282.4367339337393,280.0,277.58428908327807,1.008702621191926,145.0
282.7795272219706,280.0,277.2477936086905,1.0099268829356094,150.0
283.1574728998614,280.0,276.87773590113284,1.0112766889280764,154.99999999999997
283.56964865436436,280.0,276.47528701338445,1.0127487451941586,160.0
284.0200239789544,280.0,276.03687550497966,1.0143572284962659,165.0
284.5106057801955,280.0,275.56090496172754,1.016109306357841,169.99999999999997
285.0430857544107,280.0,275.046138349584,1.018011020551467,174.99999999999997
285.6184560527501,280.0,274.49206568612107,1.0200659144741078,179.99999999999997
286.2392573904343,280.0,273.8967418891158,1.0222830621086942,185.0
286.9077602084817,280.0,273.2585550946079,1.0246705721731493,189.99999999999997
287.6258585624167,280.0,272.5763267317172,1.0272352091514885,194.99999999999997
288.395480255871,280.0,271.8489205532685,1.0299838580566822,199.99999999999997
289.2185788743671,280.0,271.0752549339369,1.0329234959798825,205.0
290.09712565772656,280.0,270.2543150754994,1.0360611630633094,209.99999999999997
291.032087240029,280.0,269.386103585683,1.0394003115715322,214.99999999999997
292.02593433609366,280.0,268.4693062560983,1.042949765486049,219.99999999999997
293.0808877341845,280.0,267.50294297970873,1.0467174561935162,225.0
294.19892162464475,280.0,266.48636088485404,1.0507104343737315,229.99999999999997
295.38123815871927,280.0,265.41970129420594,1.0549329934239975,234.99999999999997
296.6286260784768,280.0,264.3035536943028,1.0593879502802745,239.99999999999997
297.94462547495016,280.0,263.13614442624504,1.0640879481248222,245.0
299.3296359759825,280.0,261.91860269489183,1.069034414199938,250.0
300.78504441156974,280.0,260.65125729031865,1.074232301469892,254.99999999999997
302.31370139947023,280.0,259.33326752003234,1.0796917907123937,260.0
303.91470927635123,280.0,257.9671125056025,1.085409675986969,265.0
305.59205974823954,280.0,256.55116845833436,1.09140021338657,269.99999999999994
307.3444583427196,280.0,255.0883800630503,1.0976587797954271,274.99999999999994
309.1752128972211,279.99999999999994,253.57789605877113,1.104197188918647,280.0
311.0842835861458,280.0,252.02173216921568,1.1110152985219495,285.0
