axis1_vmax_m_s,axis2_vmax_m_s,barrier_uK,distance_um,duration_us,geometry,min_depth_uK,n_minima_at_peak,path_vmax_m_s,profile,severity,split_fraction,v1_over_vs,v2_over_vs,zs1_peak_over_zr,zs2_peak_over_zr
0.27,0.0,0.0,270.0,2000.0,straight,-245.38608665668335,1,0.27,adiabatic_sine,0.75,0.0,0.75,0.0,0.7511560560801358,0.0
0.27,0.0,0.0,270.0,2000.0,straight,-223.86180494232534,1,0.27,adiabatic_sine,1.0,0.0,1.0,0.0,1.0015414081068479,0.0
0.27,0.0,0.0,270.0,2000.0,straight,-201.17372834591217,1,0.27,adiabatic_sine,1.25,0.0,1.25,0.0,1.2519267601335597,0.0
2.55,0.0,0.0,510.0,400.0,straight,-280.0,1,2.55,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
2.55,0.0,16.727406693022054,510.0,400.0,straight,-59.202830765891775,2,2.55,adiabatic_sine,0.5,0.5422885572139303,0.5,0.0,4.729501093837892,0.0
2.55,0.0,18.853199512022435,510.0,400.0,straight,-39.468572382475095,2,2.55,adiabatic_sine,0.75,0.6417910447761194,0.75,0.0,7.094251640756838,0.0
2.55,0.0,17.61931700067869,510.0,400.0,straight,-29.60137811376949,2,2.55,adiabatic_sine,1.0,0.6915422885572139,1.0,0.0,9.459002187675784,0.0
2.55,0.0,15.892571034277033,510.0,400.0,straight,-23.68106326451152,2,2.55,adiabatic_sine,1.25,0.7313432835820896,1.25,0.0,11.82375273459473,0.0
1.7,0.0,0.0,510.0,600.0,straight,-280.0,1,1.7,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.0,8.468089172476102,510.0,600.0,straight,-88.8042114649107,2,1.7,adiabatic_sine,0.5,0.4129353233830846,0.5,0.0,3.1530007292252615,0.0
1.7,0.0,16.727406693022054,510.0,600.0,straight,-59.202830765891775,2,1.7,adiabatic_sine,0.75,0.5422885572139303,0.75,0.0,4.729501093837892,0.0
1.7,0.0,18.811288211239127,510.0,600.0,straight,-44.40205715357086,2,1.7,adiabatic_sine,1.0,0.6119402985074627,1.0,0.0,6.306001458450523,0.0
1.7,0.0,18.586356716963575,510.0,600.0,straight,-35.52166718487868,2,1.7,adiabatic_sine,1.25,0.6616915422885572,1.25,0.0,7.882501823063154,0.0
1.275,0.0,0.0,510.0,800.0,straight,-280.0,1,1.275,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
1.275,0.0,1.6422777305248666,510.0,800.0,straight,-118.40569718861794,2,1.275,adiabatic_sine,0.5,0.2537313432835821,0.5,0.0,2.364750546918946,0.0
1.275,0.0,11.394405996845562,510.0,800.0,straight,-78.93707347142463,2,1.275,adiabatic_sine,0.75,0.4527363184079602,0.75,0.0,3.547125820378419,0.0
1.275,0.0,16.727406693022054,510.0,800.0,straight,-59.202830765891775,2,1.275,adiabatic_sine,1.0,0.5422885572139303,1.0,0.0,4.729501093837892,0.0
1.275,0.0,18.607658107354332,510.0,800.0,straight,-47.362249000924,2,1.275,adiabatic_sine,1.25,0.6019900497512438,1.25,0.0,5.911876367297365,0.0
1.0199999999999998,0.0,0.0,510.0,1000.0,straight,-280.0,1,1.0199999999999998,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
1.0199999999999998,0.0,0.0,510.0,1000.0,straight,-147.77851229735805,1,1.0199999999999998,adiabatic_sine,0.5,0.0,0.5,0.0,1.8918004375351563,0.0
1.0199999999999998,0.0,5.744988857310287,510.0,1000.0,straight,-98.67138806904445,2,1.0199999999999998,adiabatic_sine,0.75,0.36318407960199006,0.75,0.0,2.8377006563027343,0.0
1.0199999999999998,0.0,12.853561120222125,510.0,1000.0,straight,-74.00348074636145,2,1.0199999999999998,adiabatic_sine,1.0,0.48258706467661694,1.0,0.0,3.7836008750703125,0.0
1.0199999999999998,0.0,16.72740669302203,510.0,1000.0,straight,-59.202830765891804,2,1.0199999999999998,adiabatic_sine,1.25,0.5422885572139303,1.25,0.0,4.72950109383789,0.0
0.85,0.0,0.0,510.0,1200.0,straight,-280.0,1,0.85,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.0,0.0,510.0,1200.0,straight,-172.69683252218425,1,0.85,adiabatic_sine,0.5,0.0,0.5,0.0,1.5765003646126308,0.0
0.85,0.0,1.6422777305248666,510.0,1200.0,straight,-118.40569718861794,2,0.85,adiabatic_sine,0.75,0.2537313432835821,0.75,0.0,2.364750546918946,0.0
0.85,0.0,8.468089172476102,510.0,1200.0,straight,-88.8042114649107,2,0.85,adiabatic_sine,1.0,0.4129353233830846,1.0,0.0,3.1530007292252615,0.0
0.85,0.0,13.705896512096848,510.0,1200.0,straight,-71.04342231800936,2,0.85,adiabatic_sine,1.25,0.4925373134328358,1.25,0.0,3.941250911531577,0.0
0.6375,0.0,0.0,510.0,1600.0,straight,-280.0,1,0.6375,adiabatic_sine,0.0,0.0,0.0,0.0,0.0,0.0
