median_delta_eps_uK_retained,retained,retention_fraction,scan,shots,split_fraction,value,wilson_high,wilson_low
0.031249943280927006,500,1.0,temperature,500,0.0,3.0,1.0,0.9923756595384479
0.012411035043546903,500,1.0,temperature,500,0.0,5.0,1.0,0.9923756595384479
0.04067612314502966,500,1.0,temperature,500,0.0,10.0,1.0,0.9923756595384479
0.1151826170252086,500,1.0,depth,500,0.0,160.0,1.0,0.9923756595384479
0.08868158905175338,500,1.0,depth,500,0.0,280.0,1.0,0.9923756595384479
-0.004635493950512881,500,1.0,depth,500,0.0,920.0,1.0,0.9923756595384479
0.013540294125644836,500,1.0,waist,500,0.0,1.11,1.0,0.9923756595384479
0.06334034154653745,500,1.0,waist,500,0.0,1.17,1.0,0.9923756595384479
0.012726389265369065,500,1.0,waist,500,0.0,1.23,1.0,0.9923756595384479
-0.0004900195677319807,500,1.0,severity,500,0.0,0.5,1.0,0.9923756595384479
0.007559761734439618,500,1.0,severity,500,0.0,0.75,1.0,0.9923756595384479
5.29508122149025e-05,500,1.0,severity,500,0.0,1.0,1.0,0.9923756595384479
0.05674283634031774,500,1.0,severity,500,0.0,1.25,1.0,0.9923756595384479
43.061890212029844,472,0.944,axis_signs_opposite,500,0.4925373134328358,1.0,0.9609743793168485,0.920255206353293
