distance_um,duration_us,geometry,max_abs_w_residual_over_depth,median_delta_eps_uK_retained,median_max_axial_um,near_threshold,profile,retained,retention_fraction,severity,shots,split_fraction,status,wilson_high,wilson_low
510.0,600.0,straight,7.16531154303561e-06,0.006278771836300656,0.49065679050453737,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,600.0,straight,6.185814149789316e-06,,10.940737242241322,0,adiabatic_sine,0,0.0,0.75,128,0.5422885572139303,ok,0.029136956273508416,0.0
510.0,600.0,straight,6.1817673692965364e-06,,14.390322317489419,0,adiabatic_sine,0,0.0,1.0,128,0.6119402985074627,ok,0.029136956273508416,0.0
510.0,600.0,straight,6.177720638542418e-06,,17.141480177653545,0,adiabatic_sine,0,0.0,1.25,128,0.6616915422885572,ok,0.029136956273508416,0.0
510.0,800.0,straight,6.312216433239707e-06,0.01255312427548283,0.4790626977985882,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,800.0,straight,6.192830062558761e-06,,6.040155665747154,0,adiabatic_sine,0,0.0,0.75,128,0.4527363184079602,ok,0.029136956273508416,0.0
510.0,800.0,straight,7.771594005490853e-06,,8.740409647801014,0,adiabatic_sine,0,0.0,1.0,128,0.5422885572139303,ok,0.029136956273508416,0.0
510.0,800.0,straight,6.189415668306675e-06,,14.87619238871915,0,adiabatic_sine,0,0.0,1.25,128,0.6019900497512438,ok,0.029136956273508416,0.0
510.0,1000.0,straight,8.637539968818059e-06,0.00525335690199924,0.47612932653075735,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,1000.0,straight,6.155947486989235e-06,55.02751733507962,4.910972721678748,0,adiabatic_sine,125,0.9765625,0.75,128,0.36318407960199006,ok,0.9919975836032445,0.9333562549485678
510.0,1000.0,straight,6.194454432194462e-06,174.0800678687342,17.98924506219489,0,adiabatic_sine,7,0.0546875,1.0,128,0.48258706467661694,ok,0.10858490029974707,0.026740201381346355
510.0,1000.0,straight,6.19358025221906e-06,,8.527403301438197,0,adiabatic_sine,0,0.0,1.25,128,0.5422885572139303,ok,0.029136956273508416,0.0
510.0,1200.0,straight,8.458959748101445e-06,-0.0031261539591707077,0.4751441939047648,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,1200.0,straight,6.797418127706339e-06,27.14024598232028,3.2988135614297276,0,adiabatic_sine,128,1.0,0.75,128,0.2537313432835821,ok,1.0,0.9708630437264916
510.0,1200.0,straight,9.041745705589113e-06,66.29191758465885,6.177043645816816,0,adiabatic_sine,128,1.0,1.0,128,0.4129353233830846,ok,1.0,0.9708630437264916
510.0,1200.0,straight,1.0686470823600878e-05,146.56264282981635,9.985104777403926,0,adiabatic_sine,16,0.125,1.25,128,0.4925373134328358,ok,0.19342627081751468,0.07842644638761664
510.0,1600.0,straight,8.781822358567417e-06,-0.003049715547781773,0.47445587032791614,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,1600.0,straight,7.560594182783238e-06,0.17507273718261196,1.1624532701840677,0,adiabatic_sine,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
510.0,1600.0,straight,7.781326493671583e-06,16.96656975379046,3.3442016572060522,0,adiabatic_sine,128,1.0,1.0,128,0.2537313432835821,ok,1.0,0.9708630437264916
510.0,1600.0,straight,7.124278252916764e-06,31.322383507328098,5.714758879850784,0,adiabatic_sine,128,1.0,1.25,128,0.38308457711442784,ok,1.0,0.9708630437264916
510.0,2000.0,straight,8.837582151754176e-06,-0.0021656654866220038,0.47422538086665555,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,2000.0,straight,7.318511506638207e-06,0.00205871247467293,0.7943225199192857,0,adiabatic_sine,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
510.0,2000.0,straight,8.646740973894995e-06,0.2934738219536204,1.3469313247517447,0,adiabatic_sine,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
510.0,2000.0,straight,6.566050683535462e-06,10.271591763390362,3.272261026657377,0,adiabatic_sine,128,1.0,1.25,128,0.2537313432835821,ok,1.0,0.9708630437264916
510.0,600.0,straight,6.177475133937366e-06,0.07415071573865095,0.5025108600894557,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,600.0,straight,6.188510555338519e-06,,11.246030897840988,0,constant_jerk,0,0.0,0.75,128,0.5422885572139303,ok,0.029136956273508416,0.0
510.0,600.0,straight,6.185334370668099e-06,,14.711582128921018,0,constant_jerk,0,0.0,1.0,128,0.6019900497512438,ok,0.029136956273508416,0.0
510.0,600.0,straight,6.181553786290868e-06,,16.892918577004593,0,constant_jerk,0,0.0,1.25,128,0.6417910447761194,ok,0.029136956273508416,0.0
510.0,800.0,straight,5.766157625744526e-06,-0.008117770178784234,0.48113710938466714,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,800.0,straight,6.167466228953835e-06,,6.140660884076931,0,constant_jerk,0,0.0,0.75,128,0.4626865671641791,ok,0.029136956273508416,0.0
510.0,800.0,straight,6.198179914301675e-06,,9.633911368557984,0,constant_jerk,0,0.0,1.0,128,0.5422885572139303,ok,0.029136956273508416,0.0
510.0,800.0,straight,6.204690158605819e-06,,14.565653840035425,0,constant_jerk,0,0.0,1.25,128,0.582089552238806,ok,0.029136956273508416,0.0
510.0,1000.0,straight,8.633788982268566e-06,0.01700091027816919,0.47647902386983904,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,1000.0,straight,6.558945993305788e-06,44.257518619390865,4.931947869001976,0,constant_jerk,128,1.0,0.75,128,0.38308457711442784,ok,1.0,0.9708630437264916
510.0,1000.0,straight,6.1789965888598405e-06,59.30781925532012,17.674655264330752,0,constant_jerk,3,0.0234375,1.0,128,0.48258706467661694,ok,0.06664374505143222,0.008002416396755481
510.0,1000.0,straight,0.00021592942455423846,,8.653828567163512,0,constant_jerk,0,0.0,1.25,128,0.5422885572139303,ok,0.029136956273508416,0.0
510.0,1200.0,straight,8.674068430122151e-06,-0.012867215123169018,0.4753944396714229,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,1200.0,straight,6.709022348365055e-06,26.09545911391774,3.6127980721048587,0,constant_jerk,128,1.0,0.75,128,0.2736318407960199,ok,1.0,0.9708630437264916
510.0,1200.0,straight,6.991394227211651e-06,60.82116083562546,6.208717245765827,0,constant_jerk,128,1.0,1.0,128,0.4228855721393035,ok,1.0,0.9708630437264916
510.0,1200.0,straight,1.1581440688707612e-05,125.70395173456721,9.496804298307913,0,constant_jerk,20,0.15625,1.25,128,0.4925373134328358,ok,0.22904810942897047,0.10348354800906658
510.0,1600.0,straight,8.742396195006207e-06,-0.0002344152756910134,0.4745250763499123,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,1600.0,straight,6.540705438700872e-06,0.129341381660927,1.1915664790613087,0,constant_jerk,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
510.0,1600.0,straight,8.466522463778151e-06,14.935812218285001,3.4728823858954536,0,constant_jerk,128,1.0,1.0,128,0.2736318407960199,ok,1.0,0.9708630437264916
510.0,1600.0,straight,7.522145130571998e-06,26.814168864747945,5.731560373168046,0,constant_jerk,128,1.0,1.25,128,0.40298507462686567,ok,1.0,0.9708630437264916
510.0,2000.0,straight,8.827057813188748e-06,-0.0024798501047604837,0.47429478630026234,0,constant_jerk,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
510.0,2000.0,straight,5.39774323864424e-06,0.0017241931210560946,0.8140823854605839,0,constant_jerk,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
510.0,2000.0,straight,6.6496537126247044e-06,0.2657259419271245,1.295645453890768,0,constant_jerk,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
510.0,2000.0,straight,6.526803433706774e-06,9.255862080141295,3.294235315732208,0,constant_jerk,128,1.0,1.25,128,0.2736318407960199,ok,1.0,0.9708630437264916
610.0,600.0,diagonal,6.764861184973839e-06,0.04226041052467089,0.49557639974767553,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,600.0,diagonal,6.2640237555211476e-06,1.0428034811167863,1.1338324185299298,0,adiabatic_sine,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,600.0,diagonal,6.9903469815895035e-06,11.142273683341712,1.4886090621029782,0,adiabatic_sine,127,0.9921875,1.0,128,0.0,ok,0.9986195681071257,0.9570737405611394
610.0,600.0,diagonal,6.374641055233307e-06,31.70214641339981,1.9139343657601677,0,adiabatic_sine,119,0.9296875,1.25,128,0.0,ok,0.96257023169606,0.8717651965063937
610.0,800.0,diagonal,7.5214596666951175e-06,0.016264269314028468,0.4814857338146168,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,800.0,diagonal,8.226919735316294e-06,2.152724148856893,0.7051031877285538,0,adiabatic_sine,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,800.0,diagonal,7.553940992708775e-06,3.875191724485841,0.7985870014074474,0,adiabatic_sine,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
610.0,800.0,diagonal,6.427730868314027e-06,5.931478668114202,0.9068177517711677,0,adiabatic_sine,128,1.0,1.25,128,0.0,ok,1.0,0.9708630437264916
610.0,1000.0,diagonal,6.245782963841279e-06,0.0067111991230068835,0.47708356171116306,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1000.0,diagonal,7.794236073098417e-06,0.01136993378718465,0.584821735753627,0,adiabatic_sine,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,1000.0,diagonal,7.730531579529288e-06,-0.0053285537389626825,0.618778522432623,0,adiabatic_sine,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1000.0,diagonal,8.266894715198782e-06,0.017908464422535353,0.6683700025411082,0,adiabatic_sine,128,1.0,1.25,128,0.0,ok,1.0,0.9708630437264916
610.0,1200.0,diagonal,8.26951344257469e-06,0.010824172526223919,0.47548198666936675,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1200.0,diagonal,6.667126242132571e-06,0.12865988049640853,0.5456900547858583,0,adiabatic_sine,128,1.0,0.75,128,0.0,ok,1.0,0.9708630437264916
610.0,1200.0,diagonal,7.781266152353499e-06,0.23960525890399564,0.5621719549920703,0,adiabatic_sine,128,1.0,1.0,128,0.0,ok,1.0,0.9708630437264916
610.0,1200.0,diagonal,7.697664290856625e-06,0.4093181178065901,0.583599594474689,0,adiabatic_sine,128,1.0,1.25,128,0.0,ok,1.0,0.9708630437264916
610.0,1600.0,diagonal,8.994051067759207e-06,0.00016859152128523291,0.47454071562308175,0,adiabatic_sine,128,1.0,0.0,128,0.0,ok,1.0,0.9708630437264916
