x_m,x_um,slm_potential_J,slm_potential_uK,slm_force_N,aod_potential_J,aod_potential_uK,aod_force_N
-4.607460000000e-06,-4.607460000000e+00,-8.421968969633e-41,-6.100007293405e-12,1.133870557347e-33,-1.310084061943e-40,-9.488900234186e-12,1.763798644763e-33
-4.605120000000e-06,-4.605120000000e+00,-8.691448796020e-41,-6.295190737124e-12,1.169557007218e-33,-1.352003146048e-40,-9.792518924416e-12,1.819310900117e-33
-4.602780000000e-06,-4.602780000000e+00,-8.969407723463e-41,-6.496515568739e-12,1.206347008004e-33,-1.395241201428e-40,-1.010569088470e-11,1.876539790228e-33
-4.600440000000e-06,-4.600440000000e+00,-9.256107883011e-41,-6.704171648993e-12,1.244274057983e-33,-1.439839004024e-40,-1.042871145399e-11,1.935537423529e-33
-4.598100000000e-06,-4.598100000000e+00,-9.551819360408e-41,-6.918354600197e-12,1.283372652527e-33,-1.485838567175e-40,-1.076188493364e-11,1.996357459486e-33
-4.595760000000e-06,-4.595760000000e+00,-9.856820432803e-41,-7.139265977669e-12,1.323678313164e-33,-1.533283178436e-40,-1.110552485415e-11,2.059055153811e-33
-4.593420000000e-06,-4.593420000000e+00,-1.017139781235e-40,-7.367113446176e-12,1.365227617480e-33,-1.582217437477e-40,-1.145995424961e-11,2.123687404969e-33
-4.591080000000e-06,-4.591080000000e+00,-1.049584689691e-40,-7.602110961515e-12,1.408058229862e-33,-1.632687295074e-40,-1.182550594013e-11,2.190312802007e-33
-4.588740000000e-06,-4.588740000000e+00,-1.083047202802e-40,-7.844478957376e-12,1.452208933125e-33,-1.684740093248e-40,-1.220252282258e-11,2.258991673750e-33
-4.586400000000e-06,-4.586400000000e+00,-1.117558675645e-40,-8.094444537642e-12,1.497719661035e-33,-1.738424606559e-40,-1.259135816967e-11,2.329786139389e-33
-4.584060000000e-06,-4.584060000000e+00,-1.153151411536e-40,-8.352241674283e-12,1.544631531760e-33,-1.793791084611e-40,-1.299237593777e-11,2.402760160515e-33
-4.581720000000e-06,-4.581720000000e+00,-1.189858690148e-40,-8.618111410993e-12,1.592986882263e-33,-1.850891295785e-40,-1.340595108377e-11,2.477979594631e-33
-4.579380000000e-06,-4.579380000000e+00,-1.227714796443e-40,-8.892302072745e-12,1.642829303685e-33,-1.909778572245e-40,-1.383246989094e-11,2.555512250177e-33
-4.577040000000e-06,-4.577040000000e+00,-1.266755050445e-40,-9.175069481420e-12,1.694203677724e-33,-1.970507856248e-40,-1.427233030443e-11,2.635427943126e-33
-4.574700000000e-06,-4.574700000000e+00,-1.307015837871e-40,-9.466677177699e-12,1.747156214043e-33,-2.033135747800e-40,-1.472594227642e-11,2.717798555179e-33
-4.572360000000e-06,-4.572360000000e+00,-1.348534641656e-40,-9.767396649376e-12,1.801734488750e-33,-2.097720553688e-40,-1.519372812125e-11,2.802698093611e-33
-4.570020000000e-06,-4.570020000000e+00,-1.391350074389e-40,-1.007750756629e-11,1.857987483953e-33,-2.164322337938e-40,-1.567612288089e-11,2.890202752815e-33
-4.567680000000e-06,-4.567680000000e+00,-1.435501911683e-40,-1.039729802204e-11,1.915965628448e-33,-2.233002973729e-40,-1.617357470095e-11,2.980390977586e-33
-4.565340000000e-06,-4.565340000000e+00,-1.481031126521e-40,-1.072706478273e-11,1.975720839551e-33,-2.303826196811e-40,-1.668654521758e-11,3.073343528190e-33
-4.563000000000e-06,-4.563000000000e+00,-1.527979924585e-40,-1.106711354287e-11,2.037306566113e-33,-2.376857660465e-40,-1.721550995557e-11,3.169143547287e-33
-4.560660000000e-06,-4.560660000000e+00,-1.576391780607e-40,-1.141775918866e-11,2.100777832754e-33,-2.452164992055e-40,-1.776095873792e-11,3.267876628728e-33
-4.558320000000e-06,-4.558320000000e+00,-1.626311475774e-40,-1.177932606893e-11,2.166191285339e-33,-2.529817851205e-40,-1.832339610723e-11,3.369630888305e-33
-4.555980000000e-06,-4.555980000000e+00,-1.677785136213e-40,-1.215214827384e-11,2.233605237748e-33,-2.609887989664e-40,-1.890334175931e-11,3.474497036497e-33
-4.553640000000e-06,-4.553640000000e+00,-1.730860272574e-40,-1.253656992164e-11,2.303079719952e-33,-2.692449312894e-40,-1.950133098922e-11,3.582568453259e-33
-4.551300000000e-06,-4.551300000000e+00,-1.785585820772e-40,-1.293294545371e-11,2.374676527454e-33,-2.777577943423e-40,-2.011791515021e-11,3.693941264928e-33
-4.548960000000e-06,-4.548960000000e+00,-1.842012183883e-40,-1.334163993805e-11,2.448459272116e-33,-2.865352286041e-40,-2.075366212586e-11,3.808714423291e-33
-4.546620000000e-06,-4.546620000000e+00,-1.900191275265e-40,-1.376302938158e-11,2.524493434420e-33,-2.955853094856e-40,-2.140915681579e-11,3.926989786875e-33
-4.544280000000e-06,-4.544280000000e+00,-1.960176562900e-40,-1.419750105132e-11,2.602846417197e-33,-3.049163542288e-40,-2.208500163538e-11,4.048872204529e-33
-4.541940000000e-06,-4.541940000000e+00,-2.022023115028e-40,-1.464545380490e-11,2.683587600867e-33,-3.145369290043e-40,-2.278181702984e-11,4.174469601349e-33
-4.539600000000e-06,-4.539600000000e+00,-2.085787647079e-40,-1.510729843051e-11,2.766788400227e-33,-3.244558562122e-40,-2.350024200302e-11,4.303893067020e-33
-4.537260000000e-06,-4.537260000000e+00,-2.151528569960e-40,-1.558345799664e-11,2.852522322839e-33,-3.346822219938e-40,-2.424093466143e-11,4.437256946639e-33
