# tweezer-experiment physical control table (v1)
# interpolation_between_rows: linear
# velocity_rule: provided
# source: compiled-protocol
# units: SI in header names
time_us,aod_x_um,aod_y_um,aod_vx_um_per_us,aod_vy_um_per_us,aod_depth_uK,slm_factor
7.699999999999999,0.0,0.0,0.0,0.0,0.45033637152777783,1.0
7.8,0.0,0.0,0.0,0.0,0.4621093750000001,1.0
7.899999999999999,0.0,0.0,0.0,0.0,0.4740342881944445,1.0
8.0,0.0,0.0,0.0,0.0,0.4861111111111113,1.0
8.1,0.0,0.0,0.0,0.0,0.49833984375000034,1.0
8.2,0.0,0.0,0.0,0.0,0.5107204861111111,1.0
8.3,0.0,0.0,0.0,0.0,0.5232530381944446,1.0
8.399999999999999,0.0,0.0,0.0,0.0,0.5359375000000001,1.0
8.5,0.0,0.0,0.0,0.0,0.5487738715277779,1.0
8.6,0.0,0.0,0.0,0.0,0.5617621527777779,1.0
8.7,0.0,0.0,0.0,0.0,0.5749023437500002,1.0
8.8,0.0,0.0,0.0,0.0,0.5881944444444448,1.0
8.9,0.0,0.0,0.0,0.0,0.6016384548611112,1.0
9.0,0.0,0.0,0.0,0.0,0.6152343750000003,1.0
9.1,0.0,0.0,0.0,0.0,0.6289822048611113,1.0
9.2,0.0,0.0,0.0,0.0,0.6428819444444446,1.0
9.299999999999999,0.0,0.0,0.0,0.0,0.65693359375,1.0
9.4,0.0,0.0,0.0,0.0,0.671137152777778,1.0
9.499999999999998,0.0,0.0,0.0,0.0,0.6854926215277778,1.0
9.6,0.0,0.0,0.0,0.0,0.7000000000000001,1.0
9.700000000000001,0.0,0.0,0.0,0.0,0.7146592881944448,1.0
9.799999999999999,0.0,0.0,0.0,0.0,0.7294704861111112,1.0
9.9,0.0,0.0,0.0,0.0,0.7444335937500003,1.0
10.0,0.0,0.0,0.0,0.0,0.7595486111111112,1.0
10.1,0.0,0.0,0.0,0.0,0.7748155381944448,1.0
10.2,0.0,0.0,0.0,0.0,0.790234375,1.0
10.299999999999999,0.0,0.0,0.0,0.0,0.8058051215277781,1.0
10.399999999999999,0.0,0.0,0.0,0.0,0.8215277777777779,1.0
10.5,0.0,0.0,0.0,0.0,0.83740234375,1.0
10.6,0.0,0.0,0.0,0.0,0.8534288194444446,1.0
10.7,0.0,0.0,0.0,0.0,0.8696072048611113,1.0
10.8,0.0,0.0,0.0,0.0,0.8859375000000004,1.0
10.899999999999999,0.0,0.0,0.0,0.0,0.9024197048611112,1.0
11.0,0.0,0.0,0.0,0.0,0.9190538194444449,1.0
11.099999999999998,0.0,0.0,0.0,0.0,0.9358398437500003,1.0
11.2,0.0,0.0,0.0,0.0,0.9527777777777778,1.0
11.3,0.0,0.0,0.0,0.0,0.969867621527778,1.0
11.399999999999999,0.0,0.0,0.0,0.0,0.9871093750000003,1.0
11.5,0.0,0.0,0.0,0.0,1.0045030381944449,1.0
11.6,0.0,0.0,0.0,0.0,1.0220486111111113,1.0
11.7,0.0,0.0,0.0,0.0,1.0397460937500003,1.0
11.799999999999999,0.0,0.0,0.0,0.0,1.0575954861111114,1.0
11.9,0.0,0.0,0.0,0.0,1.0755967881944448,1.0
12.0,0.0,0.0,0.0,0.0,1.0937500000000004,1.0
