time_s,rf_x_hz,rf_y_hz,amplitude,slm_digital
5e-06,79590943.8,79590943.8,0.000595101854,1
5.05e-06,79590943.8,79590943.8,0.000610360876,1
5.1e-06,79590943.8,79590943.8,0.000610360876,1
5.15e-06,79590943.8,79590943.8,0.000625619898,1
5.2e-06,79590943.8,79590943.8,0.00064087892,1
5.25e-06,79590943.8,79590943.8,0.000656137942,1
5.3e-06,79590943.8,79590943.8,0.000671396963,1
5.35e-06,79590943.8,79590943.8,0.000686655985,1
5.4e-06,79590943.8,79590943.8,0.000686655985,1
5.45e-06,79590943.8,79590943.8,0.000701915007,1
5.5e-06,79590943.8,79590943.8,0.000717174029,1
5.55e-06,79590943.8,79590943.8,0.000732433051,1
5.6e-06,79590943.8,79590943.8,0.000747692073,1
5.65e-06,79590943.8,79590943.8,0.000762951095,1
5.7e-06,79590943.8,79590943.8,0.000778210117,1
5.75e-06,79590943.8,79590943.8,0.000778210117,1
5.8e-06,79590943.8,79590943.8,0.000793469139,1
5.85e-06,79590943.8,79590943.8,0.000808728161,1
5.9e-06,79590943.8,79590943.8,0.000823987182,1
5.95e-06,79590943.8,79590943.8,0.000839246204,1
6e-06,79590943.8,79590943.8,0.000854505226,1
6.05e-06,79590943.8,79590943.8,0.000869764248,1
6.1e-06,79590943.8,79590943.8,0.00088502327,1
6.15e-06,79590943.8,79590943.8,0.000900282292,1
6.2e-06,79590943.8,79590943.8,0.000915541314,1
6.25e-06,79590943.8,79590943.8,0.000930800336,1
6.3e-06,79590943.8,79590943.8,0.000946059358,1
6.35e-06,79590943.8,79590943.8,0.000961318379,1
6.4e-06,79590943.8,79590943.8,0.000976577401,1
6.45e-06,79590943.8,79590943.8,0.000991836423,1
6.5e-06,79590943.8,79590943.8,0.00100709545,1
6.55e-06,79590943.8,79590943.8,0.00102235447,1
6.6e-06,79590943.8,79590943.8,0.00103761349,1
6.65e-06,79590943.8,79590943.8,0.00105287251,1
6.7e-06,79590943.8,79590943.8,0.00106813153,1
6.75e-06,79590943.8,79590943.8,0.00108339055,1
6.8e-06,79590943.8,79590943.8,0.00109864958,1
6.85e-06,79590943.8,79590943.8,0.0011139086,1
6.9e-06,79590943.8,79590943.8,0.00112916762,1
6.95e-06,79590943.8,79590943.8,0.00114442664,1
7e-06,79590943.8,79590943.8,0.00115968566,1
7.05e-06,79590943.8,79590943.8,0.00117494469,1
7.1e-06,79590943.8,79590943.8,0.00119020371,1
7.15e-06,79590943.8,79590943.8,0.00122072175,1
7.2e-06,79590943.8,79590943.8,0.00123598077,1
7.25e-06,79590943.8,79590943.8,0.0012512398,1
7.3e-06,79590943.8,79590943.8,0.00126649882,1
7.35e-06,79590943.8,79590943.8,0.00128175784,1
7.4e-06,79590943.8,79590943.8,0.00129701686,1
7.45e-06,79590943.8,79590943.8,0.00131227588,1
7.5e-06,79590943.8,79590943.8,0.00132753491,1
7.55e-06,79590943.8,79590943.8,0.00135805295,1
7.6e-06,79590943.8,79590943.8,0.00137331197,1
7.65e-06,79590943.8,79590943.8,0.00138857099,1
7.7e-06,79590943.8,79590943.8,0.00140383001,1
7.75e-06,79590943.8,79590943.8,0.00141908904,1
7.8e-06,79590943.8,79590943.8,0.00144960708,1
7.85e-06,79590943.8,79590943.8,0.0014648661,1
7.9e-06,79590943.8,79590943.8,0.00148012512,1
7.95e-06,79590943.8,79590943.8,0.00149538415,1
8e-06,79590943.8,79590943.8,0.00152590219,1
8.05e-06,79590943.8,79590943.8,0.00154116121,1
8.1e-06,79590943.8,79590943.8,0.00155642023,1
8.15e-06,79590943.8,79590943.8,0.00157167926,1
8.2e-06,79590943.8,79590943.8,0.0016021973,1
8.25e-06,79590943.8,79590943.8,0.00161745632,1
8.3e-06,79590943.8,79590943.8,0.00163271534,1
8.35e-06,79590943.8,79590943.8,0.00164797436,1
8.4e-06,79590943.8,79590943.8,0.00167849241,1
8.45e-06,79590943.8,79590943.8,0.00169375143,1
8.5e-06,79590943.8,79590943.8,0.00170901045,1
